seed,condition,epoch,phase,burst,task_count,closed,closure_rate_bps,operational_debt_auc,cost_to_close_units,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,latency_ms,active_mutation_ids,active_mutation_epoch_count,hard_floor_regression_count,rollback_failures
20260510,oasg_adaptive_from_strong,17,longrun_eval,validator_burst,8,6,7500,4,16639,2,0,0,2,8,1533,71091,[],0,0,0
20260510,oasg_adaptive_from_strong,18,longrun_eval,context_budget_burst,8,6,7500,4,17128,2,0,0,2,8,1719,74132,[],0,0,0
20260510,oasg_adaptive_from_strong,19,longrun_eval,receipt_family_burst,8,5,6250,6,17513,3,0,0,3,8,1540,79766,[],0,0,0
20260510,oasg_adaptive_from_strong,20,longrun_eval,safe_expression_burst,8,6,7500,4,16701,2,0,0,2,8,1623,70823,[],0,0,0
20260510,strong_positive_control,4,longrun_eval,schema_drift,8,4,5000,8,16654,4,0,0,4,8,1533,71235,[],0,0,0
20260510,strong_positive_control,5,longrun_eval,validator_burst,8,6,7500,4,16877,2,0,0,2,8,1622,72574,[],0,0,0
20260510,strong_positive_control,6,longrun_eval,context_budget_burst,8,6,7500,4,17161,2,0,0,2,8,1622,75444,[],0,0,0
20260510,strong_positive_control,7,longrun_eval,receipt_family_burst,8,5,6250,6,21358,3,0,0,3,8,1794,115677,[],0,0,0
20260510,strong_positive_control,8,longrun_eval,safe_expression_burst,8,6,7500,4,19579,2,0,0,2,8,1696,98867,[],0,0,0
20260510,strong_positive_control,9,longrun_eval,recovery,8,5,6250,6,18585,3,0,0,3,8,1615,89747,[],0,0,0
20260510,strong_positive_control,10,longrun_eval,schema_drift,8,6,7500,4,18213,2,0,0,2,8,1667,85485,[],0,0,0
20260510,strong_positive_control,11,longrun_eval,validator_burst,8,6,7500,4,18542,2,0,0,2,8,1623,89225,[],0,0,0
20260510,strong_positive_control,12,longrun_eval,context_budget_burst,8,6,7500,4,17999,2,0,0,2,8,1617,83868,[],0,0,0
20260510,strong_positive_control,13,longrun_eval,receipt_family_burst,8,6,7500,4,17531,2,0,0,2,8,1634,79019,[],0,0,0
20260510,strong_positive_control,14,longrun_eval,safe_expression_burst,8,5,6250,6,21433,3,0,0,3,8,1753,116849,[],0,0,0
20260510,strong_positive_control,15,longrun_eval,recovery,8,4,5000,8,16602,4,0,0,4,8,1535,70716,[],0,0,0
20260510,strong_positive_control,16,longrun_eval,schema_drift,8,4,5000,8,26072,4,0,0,4,8,1973,161013,[],0,0,0
20260510,strong_positive_control,17,longrun_eval,validator_burst,8,6,7500,4,16651,2,0,0,2,8,1533,71223,[],0,0,0
